"","Parasite","Host"
"1","Alaria marcianae","Urocyon cinereoargenteus"
"2","Alaria marcianae","Lynx rufus"
"3","Alaria marcianae","Vulpes vulpes"
"4","Alaria marcianae","Puma concolor"
"5","Alaria marcianae","Canis latrans"
"6","Alaria marcianae","Procyon lotor"
"7","Alaria marcianae","Canis lupus"
"8","Alaria marcianae","Leopardus pardalis"
"9","Alaria mustelae","Mustela vison"
"10","Alaria mustelae","Mephitis mephitis"
"11","Alaria mustelae","Martes americana"
"12","Alaria mustelae","Canis latrans"
"13","Alaria mustelae","Lynx rufus"
"14","Alaria mustelae","Procyon lotor"
"15","Alaria mustelae","Mustela erminea"
"16","Alaria mustelae","Vulpes vulpes"
"17","Ancylostoma caninum","Urocyon cinereoargenteus"
"18","Ancylostoma caninum","Canis latrans"
"19","Ancylostoma caninum","Lynx canadensis"
"20","Ancylostoma caninum","Vulpes vulpes"
"21","Ancylostoma caninum","Lynx rufus"
"22","Ancylostoma caninum","Canis lupus"
"23","Ancylostoma caninum","Ursus americanus"
"24","Ancylostoma caninum","Mephitis mephitis"
"25","Ancylostoma caninum","Puma concolor"
"26","Ancylostoma tubaeforme","Leopardus pardalis"
"27","Ancylostoma tubaeforme","Urocyon cinereoargenteus"
"28","Ancylostoma tubaeforme","Lynx rufus"
"29","Ancylostoma tubaeforme","Puma concolor"
"30","Ancylostoma tubaeforme","Ursus americanus"
"31","Ascaris lumbricoides","Sciurus niger"
"32","Baylisascaris columnaris","Mephitis mephitis"
"33","Baylisascaris devosi","Martes americana"
"34","Baylisascaris devosi","Gulo gulo"
"35","Baylisascaris transfuga","Ursus americanus"
"36","Baylisascaris transfuga","Ursus arctos"
"37","Capillaria aerophila","Didelphis marsupialis"
"38","Capillaria aerophila","Lynx rufus"
"39","Capillaria aerophila","Canis latrans"
"40","Capillaria aerophila","Procyon lotor"
"41","Capillaria aerophila","Ursus americanus"
"42","Capillaria aerophila","Vulpes vulpes"
"43","Capillaria hepatica","Ondatra zibethicus"
"44","Capillaria hepatica","Peromyscus leucopus"
"45","Capillaria plica","Procyon lotor"
"46","Capillaria plica","Urocyon cinereoargenteus"
"47","Capillaria plica","Lontra canadensis"
"48","Capillaria plica","Canis latrans"
"49","Capillaria plica","Lynx rufus"
"50","Capillaria plica","Blarina brevicauda"
"51","Capillaria plica","Ursus americanus"
"52","Capillaria putorii","Procyon lotor"
"53","Capillaria putorii","Martes americana"
"54","Capillaria putorii","Ursus americanus"
"55","Centrorhynchus conspectus","Procyon lotor"
"56","Centrorhynchus conspectus","Spilogale putorius"
"57","Centrorhynchus conspectus","Mustela vison"
"58","Chabertia ovina","Bison bison"
"59","Cooperia oncophora","Odocoileus hemionus"
"60","Cooperia oncophora","Bison bison"
"61","Cooperia oncophora","Antilocapra americana"
"62","Cooperia oncophora","Odocoileus virginianus"
"63","Cooperia oncophora","Ovis canadensis"
"64","Cooperia oncophora","Cervus elaphus"
"65","Cooperia punctata","Odocoileus virginianus"
"66","Corynosoma strumosum","Mustela vison"
"67","Crenosoma vulpis","Vulpes vulpes"
"68","Crenosoma vulpis","Ursus americanus"
"69","Crenosoma vulpis","Vulpes lagopus"
"70","Cryptocotyle lingua","Canis lupus"
"71","Cryptocotyle lingua","Vulpes vulpes"
"72","Cryptocotyle lingua","Ursus americanus"
"73","Cylicospirura felineus","Lynx rufus"
"74","Cylicospirura felineus","Puma concolor"
"75","Cylicospirura felineus","Lynx canadensis"
