"","Urocitellus columbianus","Urocitellus parryii","Marmota monax","Marmota broweri","Tamias striatus","Sciurus carolinensis","Sciurus niger","Ondatra zibethicus","Myodes rutilus","Microtus xanthognathus","Microtus abbreviatus","Microtus pennsylvanicus","Microtus oeconomus","Sigmodon hispidus","Neotoma albigula","Neotoma magister","Peromyscus maniculatus","Peromyscus gossypinus","Peromyscus leucopus","Peromyscus crinitus","Geomys bursarius","Castor canadensis","Lepus americanus","Lepus callotis","Lepus californicus","Lepus townsendii","Sylvilagus floridanus","Sylvilagus nuttallii","Sylvilagus audubonii","Blarina brevicauda","Scalopus aquaticus","Taxidea taxus","Enhydra lutris","Lontra canadensis","Mustela erminea","Gulo gulo","Martes americana","Procyon lotor","Spilogale gracilis","Spilogale putorius","Mephitis mephitis","Ursus americanus","Ursus arctos","Urocyon cinereoargenteus","Canis lupus","Canis latrans","Vulpes velox","Vulpes lagopus","Vulpes macrotis","Vulpes vulpes","Leopardus pardalis","Puma concolor","Lynx rufus","Lynx canadensis","Bison bison","Ovibos moschatus","Ovis canadensis","Ovis dalli","Oreamnos americanus","Cervus elaphus","Rangifer tarandus","Odocoileus hemionus","Odocoileus virginianus","Alces alces","Antilocapra americana","Didelphis virginiana","Didelphis marsupialis"
"Corynosoma strumosum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plagiorhynchus cylindraceus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Profilicollis botulus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centrorhynchus conspectus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macracanthorhynchus ingens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Moniliformis moniliformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dirofilaria immitis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cylicospirura felineus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cylicospirura subaequalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gongylonema pulchrum",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
