CorrectName,Code
Acanthocephalus anguillae,ACAANG
Acanthocheilonema odendhali,ACAODE
Acanthocheilonema reconditum,ACAREC
Acanthocheilonema spirocauda,ACASPI
Aelurostrongylus abstrusus,AELABS
Aelurostrongylus falciformis,AELFAL
Alaria alata,ALAALA
Alaria marcianae,ALAMAR
Alaria mustelae,ALAMUS
Ancylostoma braziliense,ANCBRA
Ancylostoma caninum,ANCCAN
Ancylostoma tubaeforme,ANCTUB
Angiostrongylus costaricensis,ANGCOS
Angiostrongylus vasorum,ANGVAS
Anisakis physeteris,ANIPHY
Anisakis simplex,ANISIM
Anoplocephala magna,ANOMAG
Anoplocephala perfoliata,ANOPER
Apophallus donicus,APODON
Apophallus muehlingi,APOMUE
Ascaridia galli,ASCGAL
Ascaris suum,ASCSUU
Ashworthius sidemi,ASHSID
Baylisascaris columnaris,BAYCOL
Baylisascaris devosi,BAYDEV
Baylisascaris procyonis,BAYPRO
Baylisascaris transfuga,BAYTRA
Bertiella studeri,BERSTU
Brachylaima virginianum,BRAVIR
Bunostomum trigonocephalum,BUNTRI
Calicophron calicophorum,CALCAL
Camelostrongylus mentulatus,CAMMEN
Capillaria aerophila,CAPAER
Capillaria hepatica,CAPHEP
Capillaria putorii,CAPPUT
Carmyerius gregarius,CARGRE
Cercopithifilaria crassa,CERCRA
Cercopithifilaria longa,CERLON
Cercopithifilaria shohoi,CERSHO
Chabertia ovina,CHAOVI
Concinnum ten,CONTEN
Contracaecum ogmorhini,CONOGM
Contracaecum osculatum,CONOSC
Contracaecum spiculigerum,CONSPI
Cooperia fuelleborni,COOFUE
Cooperia oncophora,COOONC
Cooperia punctata,COOPUN
Coronocyclus coronatus,CORCOR
Coronocyclus labiatus,CORLAB
Corynosoma australe,CORAUS
Corynosoma enhydri,CORENH
Corynosoma magdaleni,CORMAG
Corynosoma obtuscens,COROBT
Corynosoma strumosum,CORSTR
Corynosoma validum,CORVAL
Cotylophoron cotylophorum,COTCOT
Crenosoma vulpis,CREVUL
Cryptocotyle lingua,CRYLIN
Cyathostomum catinatum,CYACAT
Cyathostomum pateratum,CYAPAT
Cyathostomum tetracanthum,CYATET
Cylicocyclus adersi,CYCADE
Cylicocyclus auriculatus,CYLAUR
Cylicocyclus elongatus,CYLELO
Cylicocyclus insigne,CYLINS
Cylicocyclus leptostomum,CYLLEP
Cylicocyclus nassatus,CYLNAS
Cylicocyclus radiatus,CYLRAD
Cylicospirura felineus,CYLFEL
Cylicospirura petrowi,CYLPET
Cylicospirura subaequalis,CYLSUB
Cylicostephanus calicatus,CYLCAL
Cylicostephanus goldi,CYLGOL
Cylicostephanus longibursatus,CYLLON
Cylicostephanus minutus,CYLMIN
Cystocaulus ocreatus,CYSOCR
Dicrocoelium dendriticum,DICDEN
Dictyocaulus capreolus,DICCAP
Dictyocaulus eckerti,DICECK
Dictyocaulus filaria,DICFIL
Dictyocaulus noerneri,DICNOE
