"","Hippopotamus amphibius","Syncerus caffer","Bison bison","Bos gaurus","Bison bonasus","Tragelaphus angasii","Tragelaphus oryx","Tragelaphus strepsiceros","Philantomba monticola","Sylvicapra grimmia","Cephalophus natalensis","Connochaetes gnou","Connochaetes taurinus","Alcelaphus buselaphus","Damaliscus lunatus","Damaliscus pygargus","Oryx gazella","Rupicapra pyrenaica","Rupicapra rupicapra","Capra pyrenaica","Capra ibex","Capra nubiana","Ovis orientalis","Ovis ammon","Ovibos moschatus","Capricornis crispus","Pelea capreolus","Redunca fulvorufula","Redunca redunca","Redunca arundinum","Kobus leche","Kobus ellipsiprymnus","Raphicerus campestris","Raphicerus melanotis","Ourebia ourebi","Saiga tatarica","Gazella spekei","Nanger soemmerringii","Antidorcas marsupialis","Aepyceros melampus","Neotragus pygmaeus","Dama dama","Axis axis","Rucervus duvaucelii","Rusa unicolor","Cervus elaphus","Cervus nippon","Capreolus capreolus","Alces alces","Rangifer tarandus","Odocoileus hemionus","Odocoileus virginianus","Antilocapra americana","Phacochoerus aethiopicus","Sus scrofa","Lama guanicoe","Nandinia binotata","Leopardus geoffroyi","Leopardus pardalis","Felis silvestris","Acinonyx jubatus","Puma concolor","Lynx rufus","Lynx pardinus","Lynx canadensis","Lynx lynx","Panthera pardus","Panthera leo","Crocuta crocuta","Hyaena hyaena","Genetta genetta","Viverra civettina","Urocyon cinereoargenteus","Urocyon littoralis","Cerdocyon thous","Chrysocyon brachyurus","Lycalopex vetulus","Lycalopex culpaeus","Canis mesomelas","Canis lupus","Canis latrans","Canis aureus","Lycaon pictus","Vulpes velox","Vulpes lagopus","Vulpes corsac","Vulpes ferrilata","Vulpes vulpes","Nyctereutes procyonoides","Otocyon megalotis","Meles meles","Neovison vison","Mustela frenata","Mustela erminea","Mustela nivalis","Mustela lutreola","Mustela putorius","Mustela sibirica","Mustela itatsi","Enhydra lutris","Lutra lutra","Lontra canadensis","Gulo gulo","Martes foina","Martes melampus","Martes martes","Martes americana","Procyon lotor","Conepatus chinga","Conepatus leuconotus","Spilogale gracilis","Spilogale putorius","Mephitis mephitis","Callorhinus ursinus","Eumetopias jubatus","Zalophus californianus","Otaria byronia","Arctocephalus tropicalis","Arctocephalus pusillus","Arctocephalus forsteri","Arctocephalus australis","Mirounga angustirostris","Mirounga leonina","Monachus monachus","Neomonachus schauinslandi","Erignathus barbatus","Cystophora cristata","Pagophilus groenlandicus","Histriophoca fasciata","Halichoerus grypus","Pusa hispida","Phoca vitulina","Ursus thibetanus","Ursus americanus","Ursus maritimus","Ursus arctos","Equus ferus","Equus hemionus","Equus quagga","Equus zebra","Prolemur simus","Lemur catta","Hapalemur griseus","Saguinus fuscicollis","Saguinus mystax","Saguinus midas","Aotus vociferans","Aotus nancymaae","Cebus capucinus","Saimiri sciureus","Alouatta pigra","Alouatta palliata","Alouatta guariba","Alouatta caraya","Alouatta seniculus","Ateles paniscus","Ateles chamek","Brachyteles arachnoides","Ateles fusciceps","Ateles hybridus","Ateles geoffroyi","Pongo abelii","Pongo pygmaeus","Gorilla gorilla","Gorilla beringei","Pan paniscus","Pan troglodytes","Symphalangus syndactylus","Hylobates lar","Cercocebus galeritus","Mandrillus sphinx","Theropithecus gelada","Papio papio","Papio ursinus","Papio cynocephalus","Papio hamadryas","Papio anubis","Macaca hecki","Macaca fascicularis","Macaca fuscata","Macaca cyclopis","Macaca mulatta","Allochrocebus lhoesti","Cercopithecus mona","Cercopithecus campbelli","Cercopithecus mitis","Cercopithecus ascanius","Cercopithecus diana","Erythrocebus patas","Chlorocebus aethiops","Chlorocebus pygerythrus","Trachypithecus cristatus","Rhinopithecus bieti","Colobus angolensis","Colobus guereza","Colobus polykomos","Piliocolobus tephrosceles","Piliocolobus rufomitratus","Piliocolobus badius"
"Acanthocephalus anguillae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Echinorhynchus gadi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pomphorhynchus laevis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arhythmorhynchus brevis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Southwellina hispida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corynosoma australe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corynosoma enhydri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corynosoma validum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corynosoma magdaleni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corynosoma strumosum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
